Date,Open,High,Low,Close,Volume,Adj Close
03/01/2017,115.800003,116.330002,114.760002,116.150002,28509500,116.150002
30/12/2016,116.650002,117.199997,115.43,115.82,30253100,115.82
29/12/2016,116.449997,117.110001,116.400002,116.730003,14963300,116.730003
28/12/2016,117.519997,118.019997,116.199997,116.760002,20582000,116.760002
27/12/2016,116.519997,117.800003,116.489998,117.260002,18071900,117.260002
23/12/2016,115.589996,116.519997,115.589996,116.519997,14181200,116.519997
22/12/2016,116.349998,116.510002,115.639999,116.290001,25789800,116.290001
21/12/2016,116.800003,117.400002,116.779999,117.059998,24216900,117.059998
20/12/2016,116.739998,117.5,116.68,116.949997,20905800,116.949997
19/12/2016,115.800003,117.379997,115.75,116.639999,27675400,116.639999
16/12/2016,116.470001,116.5,115.650002,115.970001,44055400,115.970001
15/12/2016,115.379997,116.730003,115.230003,115.82,46232200,115.82
14/12/2016,115.040001,116.199997,114.980003,115.190002,33433200,115.190002
13/12/2016,113.839996,115.919998,113.75,115.190002,43167500,115.190002
12/12/2016,113.290001,115,112.489998,113.300003,26149100,113.300003
09/12/2016,112.309998,114.699997,112.309998,113.949997,34274100,113.949997
08/12/2016,110.860001,112.43,110.599998,112.120003,26818500,112.120003
07/12/2016,109.260002,111.190002,109.160004,111.029999,29853000,111.029999
06/12/2016,109.5,110.360001,109.190002,109.949997,26075900,109.949997
05/12/2016,110,110.029999,108.25,109.110001,34037300,109.110001
02/12/2016,109.169998,110.089996,108.849998,109.900002,26409800,109.900002
01/12/2016,110.370003,110.940002,109.029999,109.489998,36825800,109.489998
30/11/2016,111.599998,112.199997,110.269997,110.519997,35765000,110.519997
29/11/2016,110.779999,112.029999,110.07,111.459999,28459300,111.459999
28/11/2016,111.43,112.470001,111.389999,111.57,27026600,111.57
25/11/2016,111.129997,111.870003,110.949997,111.790001,11424400,111.790001
23/11/2016,111.360001,111.510002,110.330002,111.230003,27387900,111.230003
22/11/2016,111.949997,112.419998,111.400002,111.800003,25922600,111.800003
21/11/2016,110.120003,111.989998,110.010002,111.730003,29119100,111.730003
18/11/2016,109.720001,110.540001,109.660004,110.059998,27404300,110.059998
17/11/2016,109.809998,110.349998,108.830002,109.949997,26964600,109.949997
16/11/2016,106.699997,110.230003,106.599998,109.989998,58702500,109.989998
15/11/2016,106.57,107.68,106.160004,107.110001,32216900,107.110001
14/11/2016,107.709999,107.809998,104.080002,105.709999,50872500,105.709999
11/11/2016,107.120003,108.870003,106.550003,108.43,34094100,108.43
10/11/2016,111.089996,111.089996,105.830002,107.790001,57134500,107.790001
09/11/2016,109.879997,111.32,108.050003,110.879997,59176400,110.879997
08/11/2016,110.309998,111.720001,109.699997,111.059998,24054500,111.059998
07/11/2016,110.080002,110.510002,109.459999,110.410004,32560000,110.410004
04/11/2016,108.529999,110.25,108.110001,108.839996,30837000,108.839996
